ORIG_CD;DEST_CD;MILES;O&D
CAG;SXF;930;CAG-SXF
MRS;MXP;230;MRS-MXP
PAD;TFS;2084;PAD-TFS
DME;NCU;1320;DME-NCU
AAQ;SVX;1299;AAQ-SVX
KPB;PPV;2;KPB-PPV
HMI;XIY;998;HMI-XIY
DEL;FRA;3810;DEL-FRA
DXB;WLG;8849;DXB-WLG
DYG;TAE;1160;DYG-TAE
JTC;PPB;150;JTC-PPB
CUN;MXL;1917;CUN-MXL
KIV;TSF;805;KIV-TSF
BWI;MIA;948;BWI-MIA
LBA;PUY;932;LBA-PUY
FRA;ULN;4129;FRA-ULN
BEG;SAW;529;BEG-SAW
BVH;MVF;1637;BVH-MVF
HAM;KBP;918;HAM-KBP
CVG;OMA;614;CVG-OMA
GUA;HAV;786;GUA-HAV
YRJ;YTF;28;YRJ-YTF
BCN;LIS;618;BCN-LIS
FEC;PMW;654;FEC-PMW
PHX;SAF;370;PHX-SAF
DEN;LAR;114;DEN-LAR
MMY;OKA;177;MMY-OKA
EOH;PEI;97;EOH-PEI
GUA;SXM;1835;GUA-SXM
AUA;BSB;2467;AUA-BSB
AZO;ORD;122;AZO-ORD
MLA;NTE;1138;MLA-NTE
TLV;ZAG;1380;TLV-ZAG
DEB;ERF;539;DEB-ERF
FRA;SVO;1256;FRA-SVO
DAM;VKO;1531;DAM-VKO
OKC;VLN;2550;OKC-VLN
BNA;GRU;4867;BNA-GRU
PTY;UDI;2865;PTY-UDI
AFL;MCP;772;AFL-MCP
SXF;CAG;930;SXF-CAG
MXP;MRS;230;MXP-MRS
TFS;PAD;2084;TFS-PAD
NCU;DME;1320;NCU-DME
SVX;AAQ;1299;SVX-AAQ
PPV;KPB;2;PPV-KPB
XIY;HMI;0;XIY-HMI
FRA;DEL;3810;FRA-DEL
WLG;DXB;8849;WLG-DXB
TAE;DYG;1160;TAE-DYG
PPB;JTC;150;PPB-JTC
MXL;CUN;1917;MXL-CUN
TSF;KIV;805;TSF-KIV
MIA;BWI;948;MIA-BWI
PUY;LBA;932;PUY-LBA
ULN;FRA;4129;ULN-FRA
SAW;BEG;529;SAW-BEG
MVF;BVH;1637;MVF-BVH
KBP;HAM;918;KBP-HAM
OMA;CVG;614;OMA-CVG
HAV;GUA;786;HAV-GUA
YTF;YRJ;28;YTF-YRJ
LIS;BCN;618;LIS-BCN
PMW;FEC;654;PMW-FEC
SAF;PHX;0;SAF-PHX
LAR;DEN;114;LAR-DEN
OKA;MMY;177;OKA-MMY
PEI;EOH;97;PEI-EOH
SXM;GUA;1835;SXM-GUA
BSB;AUA;2468;BSB-AUA
ORD;AZO;122;ORD-AZO
NTE;MLA;1138;NTE-MLA
ZAG;TLV;1380;ZAG-TLV
ERF;DEB;539;ERF-DEB
SVO;FRA;1256;SVO-FRA
VKO;DAM;1531;VKO-DAM
VLN;OKC;2550;VLN-OKC
LPL;VNO;1138;LPL-VNO
MAO;RIA;1889;MAO-RIA
MCP;AFL;772;MCP-AFL
DAV;MTY;1668;DAV-MTY
DOK;ODS;351;DOK-ODS
OLB;PSA;197;OLB-PSA
BRO;IAH;309;BRO-IAH
CLT;VVI;3819;CLT-VVI
PET;PPB;661;PET-PPB
CAU;PTO;1655;CAU-PTO
BRU;SSH;2221;BRU-SSH
BHR;KTM;58;BHR-KTM
CKG;SIN;1961;CKG-SIN
PHX;DAV;2556;PHX-DAV
SUB;TPE;2316;SUB-TPE
DCA;HOU;1218;DCA-HOU
BHK;TAS;278;BHK-TAS
BPS;PMW;754;BPS-PMW
BSB;MCP;1119;BSB-MCP
NBE;SVO;1867;NBE-SVO
AMS;FOR;4625;AMS-FOR
COO;LOS;64;COO-LOS
CAY;PGZ;2076;CAY-PGZ
CLV;SSA;762;CLV-SSA
FNC;VLC;1023;FNC-VLC
MGF;ROO;508;MGF-ROO
JAX;PTY;1481;JAX-PTY
BVH;IPN;1258;BVH-IPN
MCO;URG;4314;MCO-URG
JDO;NVT;1491;JDO-NVT
IBZ;LYS;510;IBZ-LYS
ASU;MOB;4351;ASU-MOB
AWD;FTA;46;AWD-FTA
ATZ;KWI;1037;ATZ-KWI
TAO;WUX;313;TAO-WUX
BTH;PDG;261;BTH-PDG
CJS;CUU;205;CJS-CUU
SJD;YVR;1949;SJD-YVR
IAH;SIN;9925;IAH-SIN
BDL;DTW;547;BDL-DTW
VNO;LPL;1138;VNO-LPL
RIA;MAO;1889;RIA-MAO
CLT;LIR;1719;CLT-LIR
MTY;DAV;1668;MTY-DAV
ODS;DOK;351;ODS-DOK
PSA;OLB;197;PSA-OLB
IAH;BRO;309;IAH-BRO
VVI;CLT;3819;VVI-CLT
PPB;PET;661;PPB-PET
PTO;CAU;1655;PTO-CAU
SSH;BRU;2221;SSH-BRU
KTM;BHR;58;KTM-BHR
