IATA,Airport,Location
AAA,Anaa Airport,"Anaa, Tuamotus, French Polynesia"
AAB,Arrabury Airport,"Arrabury, Queensland, Australia"
AAC,El Arish International Airport,"El Arish, Egypt"
AAD,Adado Airport,"Adado (Cadaado), Galguduud, Somalia"
AAE,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria"
AAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States"
AAG,Arapoti Airport,"Arapoti, Paraná, Brazil"
AAH,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany"
AAI,Arraias Airport,"Arraias, Tocantins, Brazil"
AAJ,Cayana Airstrip,"Awaradam, Suriname"
AAK,Aranuka Airport,"Aranuka, Kiribati"
AAL,Aalborg Airport,"Aalborg, Denmark"
AAM,Mala Mala Airport,"Mala Mala, South Africa"
AAN,Al Ain International Airport,"Al Ain, United Arab Emirates"
AAO,Anaco Airport,"Anaco, Venezuela"
AAQ,Anapa Airport,"Anapa, Krasnodar Krai, Russia"
AAR,Aarhus Airport,"Aarhus, Denmark"
AAS,Apalapsili Airport,"Apalapsili, Indonesia"
AAT,Altay Airport,"Altay, Xinjiang, China"
AAU,Asau Airport,"Asau, Savai'i Island, Samoa"
AAV,Allah Valley Airport,"Surallah, Philippines"
AAX,Araxá Airport,"Araxá, Minas Gerais, Brazil"
AAY,Al Ghaydah Airport,"Al Ghaydah, Yemen"
AAZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala"
ABA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia"
ABB,Asaba International Airport,"Asaba, Nigeria"
ABC,Albacete Airport,"Albacete, Castilla-La Mancha, Spain"
ABD,Abadan International Airport,"Abadan, Iran"
ABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States"
ABF,Abaiang Atoll Airport,"Abaiang, Kiribati"
ABG,Abingdon Airport,"Abingdon, Queensland, Australia"
ABH,Alpha Airport,"Alpha, Queensland, Australia"
ABI,Abilene Regional Airport,"Abilene, Texas, United States"
ABJ,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire"
ABK,Kabri Dar Airport,"Kebri Dahar, Ethiopia"
ABL,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States"
ABM,Northern Peninsula Airport,"Bamaga, Queensland, Australia"
ABN,Albina Airstrip,"Albina, Suriname"
ABO,Aboisso Airport,"Aboisso, Côte d'Ivoire"
ABP,Atkamba Airport,"Atkamba, Papua New Guinea"
ABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States"
ABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States"
ABS,Abu Simbel Airport,"Abu Simbel, Egypt"
ABT,Al-Baha Domestic Airport,"Al-Baha, Saudi Arabia"
ABU,Haliwen Airport,"Atambua, Indonesia"
ABV,Nnamdi Azikiwe International Airport,"Abuja, Nigeria"
ABW,Abau Airport,"Abau, Papua New Guinea"
ABX,Albury Airport,"Albury, New South Wales, Australia"
ABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States"
ABZ,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom"
ACA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico"
ACB,Antrim County Airport,"Bellaire, Michigan, United States"
ACC,Kotoka International Airport,"Accra, Ghana"
ACD,Alcides Fernández Airport,"Acandí, Colombia"
ACE,Lanzarote Airport,"Lanzarote, Canary Islands, Spain"
ACH,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland"
ACI,Alderney Airport,"Alderney, Channel Islands, United Kingdom"
ACJ,Anuradhapura Airport,"Anuradhapura, Sri Lanka"
ACK,Nantucket Memorial Airport,"Nantucket, Massachusetts, United States"
ACL,Aguaclara Airport,"Aguaclara, Colombia"
ACM,Arica Airport,"Arica, Colombia"
ACN,Ciudad Acuña International Airport,"Ciudad Acuña, Coahuila, Mexico"
ACP,Sahand Airport,"Maragheh, Iran"
ACR,Araracuara Airport,"Araracuara, Colombia"
ACS,Achinsk Airport,"Achinsk, Krasnoyarsk Krai, Russia"
ACT,Waco Regional Airport,"Waco, Texas, United States"
ACU,Achutupo Airport,"Achutupo, Panama"
ACV,Arcata-Eureka Airport,"Eureka / Arcata, California, United States"
ACX,Xingyi Wanfenglin Airport,"Xingyi, Guizhou, China"
ACY,Atlantic City International Airport,"Atlantic City, New Jersey, United States"
ACZ,Zabol Airport,"Zabol, Iran"
ADA,Adana Sakirpasa Airport,"Adana, Turkey"
ADB,Adnan Menderes Airport,"Izmir, Turkey"
ADC,Andakombe Airport,"Andakombe, Papua New Guinea"
ADD,Bole International Airport,"Addis Ababa, Ethiopia"
ADE,Aden International Airport,"Aden, Yemen"
ADF,Adiyaman Airport,"Adiyaman, Turkey"
ADG,Lenawee County Airport,"Adrian, Michigan, United States"
ADH,Aldan Airport,"Aldan, Yakutia, Russia"
ADI,Arandis Airport,"Arandis, Namibia"
ADJ,Amman Civil Airport (Marka International Airport),"Amman, Jordan"
ADK,Adak Airport,"Adak Island, Alaska, United States"
ADL,Adelaide Airport,"Adelaide, South Australia, Australia"
ADM,Ardmore Municipal Airport,"Ardmore, Oklahoma, United States"
ADN,Andes Airport,"Andes, Colombia"
ADO,Andamooka Airport,"Andamooka, South Australia, Australia"
ADP,Ampara Airport,"Ampara, Sri Lanka"
ADQ,Kodiak Airport,"Kodiak, Alaska, United States"
ADR,Robert F. Swinnie Airport (FAA: PHH),"Andrews, South Carolina, United States"
ADS,Addison Airport,"Dallas, Texas, United States"
ADT,Ada Municipal Airport (FAA: ADH),"Ada, Oklahoma, United States"
ADU,Ardabil Airport,"Ardabil, Iran"
ADV,Ed Daein Airport,"Ed Daein, Sudan"
ADW,Andrews Field (Andrews Air Force Base),"Camp Springs, Maryland, United States"
ADX,RAF Leuchars,"St Andrews, Scotland, United Kingdom"
ADY,Alldays Airport,"Alldays, South Africa"
ADZ,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia"
AEA,Abemama Atoll Airport,"Abemama Atoll, Kiribati"
AEB,Baise Bama Airport,"Baise, Guangxi, China"
AEE,Adareil Airport,"Adareil, South Sudan"
AEG,Aek Godang Airport,"Padang Sidempuan, Indonesia"
AEH,Abéché Airport,"Abéché, Chad"
AEK,Aseki Airport,"Aseki, Papua New Guinea"
AEL,Albert Lea Municipal Airport,"Albert Lea, Minnesota, United States"
AEM,Amgu Airport,"Amgu, Primorsky Krai, Russia"
AEO,Aioun el Atrouss Airport,"Aioun el Atrouss, Mauritania"
AEP,Jorge Newbery Airpark,"Buenos Aires, Argentina"
AER,Sochi International Airport,"Sochi, Krasnodar Krai, Russia"
AES,"Ålesund Airport, Vigra","Ålesund, Norway"
AET,Allakaket Airport (FAA: 6A8),"Allakaket, Alaska, United States"
AEU,Abu Musa Airport,"Abu Musa Island, Iran"
AEX,Alexandria International Airport,"Alexandria, Louisiana, United States"
AEY,Akureyri Airport,"Akureyri, Iceland"
AFA,San Rafael Airport,"San Rafael, Mendoza, Argentina"
AFD,Port Alfred Airport,"Port Alfred, South Africa"
AFF,United States Air Force Academy Airfield,"Colorado Springs, Colorado, United States"
AFI,Amalfi Airport,"Amalfi, Colombia"
AFK,Kondavattavan Tank Seaplane Base,"Ampara, Sri Lanka"
AFL,Alta Floresta Airport,"Alta Floresta, Mato Grosso, Brazil"
AFN,Jaffrey Airport–Silver Ranch,"Jaffrey, New Hampshire, United States"
AFO,Afton Municipal Airport,"Afton, Wyoming, United States"
AFR,Afore Airport,"Afore, Papua New Guinea"
AFS,Zarafshan Airport,"Zarafshan, Uzbekistan"
AFT,Afutara Airport,"Afutara, Malaita, Solomon Islands"
AFW,Fort Worth Alliance Airport,"Fort Worth, Texas, United States"
AFY,Afyon Airport,"Afyon, Turkey"
AFZ,Sabzevar Airport,"Sabzevar, Iran"
AGA,Agadir–Al Massira Airport,"Agadir, Morocco"
AGB,Augsburg Airport,"Augsburg, Bavaria, Germany"
AGC,Allegheny County Airport,"Pittsburgh, Pennsylvania, United States"
AGD,Anggi Airport,"Anggi, Indonesia"
AGE,Wangerooge Airfield,"Wangerooge, Lower Saxony, Germany"
AGF,Agen La Garenne Airport,"Agen, Aquitaine, France"
AGG,Angoram Airport,"Angoram, Papua New Guinea"
AGH,Ängelholm–Helsingborg Airport (former ICAO: ESDB),"Ängelholm, Sweden"
AGI,Wageningen Airstrip,"Wageningen, Suriname"
AGJ,Aguni Airport,"Aguni, Okinawa, Japan"
AGK,Kagua Airport,"Kagua, Papua New Guinea"
AGL,Wanigela Airport,"Wanigela, Papua New Guinea"
AGN,Angoon Seaplane Base,"Angoon, Alaska, United States"
AGO,Magnolia Municipal Airport,"Magnolia, Arkansas, United States"
AGP,Málaga Airport,"Málaga, Andalusia, Spain"
AGQ,Agrinion Airport,"Agrinion, Greece"
AGR,Agra Airport,"Agra, Uttar Pradesh, India"
AGS,Augusta Regional Airport at Bush Field,"Augusta, Georgia, United States"
AGT,Guaraní International Airport,"Ciudad del Este, Paraguay"
AGU,Lic. Jesús Terán Peredo International Airport,"Aguascalientes, Aguascalientes, Mexico"
AGV,Oswaldo Guevara Mujica Airport,"Acarigua, Venezuela"
AGW,Agnew Airport,"Agnew, Queensland, Australia"
AGX,Agatti Aerodrome,"Agatti Island, Lakshadweep, India"
AGZ,Aggeneys Airport,"Aggeneys, South Africa"
AHB,Abha Regional Airport,"Abha, Saudi Arabia"
AHC,Amedee Army Airfield,"Herlong, California, United States"
AHD,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States"
AHE,Ahe Airport,"Ahe, Tuamotus, French Polynesia"
AHF,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States"
AHH,Amery Municipal Airport,"Amery, Wisconsin, United States"
AHI,Amahai Airport,"Amahai, Indonesia"
AHJ,Hongyuan Airport,"Hongyuan, Sichuan, China"
AHL,Aishalton Airport,"Aishalton, Guyana"
AHM,Ashland Municipal Airport (FAA: S03),"Ashland, Oregon, United States"
AHN,Athens Ben Epps Airport,"Athens, Georgia, United States"
AHO,Alghero-Fertilia Airport,"Alghero, Sardinia, Italy"
AHS,Ahuas Airport,"Ahuas, Honduras"
AHU,Cherif Al Idrissi Airport,"Al Hoceima, Morocco"
AHW,Saih Rawl Airport,"Saih Rawl, Oman"
AHY,Ambatolahy Airport,"Ambatolahy, Madagascar"
AHZ,Alpe d'Huez Airport,"Alpe d'Huez, Rhône-Alpes, France"
AIA,Alliance Municipal Airport,"Alliance, Nebraska, United States"
AIC,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands"
AID,Anderson Municipal Airport (Darlington Field),"Anderson, Indiana, United States"
AIE,Aiome Airport,"Aiome, Papua New Guinea"
AIF,Assis Airport (former ICAO: SBAS),"Assis, São Paulo, Brazil"
AIG,Yalinga Airport,"Yalinga, Central African Republic"
AIH,Aiambak Airport,"Aiambak, Papua New Guinea"
AII,Ali-Sabieh Airport,"Ali Sabieh, Djibouti"
AIK,Aiken Municipal Airport,"Aiken, South Carolina, United States"
AIL,Ailigandí Airport,"Ailigandí, Panama"
AIM,Ailuk Airport,"Ailuk Atoll, Marshall Islands"
AIN,Wainwright Airport (FAA: AWI),"Fort Wainwright, Alaska, United States"
AIO,Atlantic Municipal Airport,"Atlantic, Iowa, United States"
AIR,Aripuanã Airport,"Aripuanã, Mato Grosso, Brazil"
AIS,Arorae Island Airport,"Arorae Island, Kiribati"
AIT,Aitutaki Airport,"Aitutaki, Cook Islands"
AIU,Enua Airport,"Atiu Island, Cook Islands"
AIV,George Downer Airport,"Aliceville, Alabama, United States"
AIW,Ai-Ais Airport,"Ai-Ais, Namibia"
AIY,Atlantic City Municipal Airport (Bader Field) (closed 2006),"Atlantic City, New Jersey, United States"
AIZ,Lee C. Fine Memorial Airport,"Lake Ozark, Missouri, United States"
AJA,Ajaccio Napoleon Bonaparte Airport,"Ajaccio, Corsica, France"
AJF,Al-Jawf Domestic Airport,"Sakakah, Al Jawf, Saudi Arabia"
AJI,Agri Airport,"Agri, Turkey"
AJJ,Akjoujt Airport,"Akjoujt, Mauritania"
AJK,Arak Airport,"Arak, Iran"
AJL,Lengpui Airport,"Aizawl, Mizoram, India"
AJN,Ouani Airport,"Anjouan, Comoros"
AJR,Arvidsjaur Airport,"Arvidsjaur, Sweden"
AJS,Punta Abreojos Airstrip,"Punta Abreojos, Baja California Sur, Mexico"
AJU,Santa Maria Airport,"Aracaju, Sergipe, Brazil"
AJY,Mano Dayak International Airport,"Agadez, Niger"
AKA,Ankang Wulipu Airport,"Ankang, Shaanxi, China"
AKB,Atka Airport (FAA: AKA),"Atka, Alaska, United States"
AKC,Akron Fulton International Airport (FAA: AKR),"Akron, Ohio, United States"
AKD,Akola Airport,"Akola, Maharashtra, India"
AKE,Akieni Airport,"Akiéni, Gabon"
AKF,Kufra Airport,"Kufra, Libya"
AKG,Anguganak Airport,"Anguganak, Papua New Guinea"
AKH,Prince Sultan Air Base,"Al-Kharj, Saudi Arabia"
AKI,Akiak Airport,"Akiak, Alaska, United States"
AKJ,Asahikawa Airport,"Asahikawa, Hokkaido, Japan"
AKK,Akhiok Airport,"Akhiok, Alaska, United States"
AKL,Auckland Airport,"Auckland, New Zealand"
AKM,Zakouma Airport,"Zakouma National Park, Chad"
AKN,King Salmon Airport,"King Salmon, Alaska, United States"
AKO,Colorado Plains Regional Airport,"Akron, Colorado, United States"
AKP,Anaktuvuk Pass Airport,"Anaktuvuk Pass, Alaska, United States"
AKQ,Gunung Batin Airport,"Astraksetra, Indonesia"
AKR,Akure Airport,"Akure, Nigeria"
AKS,Auki Gwaunaru'u Airport,"Auki, Malaita, Solomon Islands"
AKT,RAF Akrotiri,"Akrotiri, Cyprus"
AKU,Aksu Airport,"Aksu, Xinjiang, China"
AKV,Akulivik Airport,"Akulivik, Quebec, Canada"
AKW,Aghajari Airport,"Aghajari, Iran"
AKX,Aktobe Airport,"Aktobe, Kazakhstan"
AKY,Sittwe Airport,"Sittwe, Myanmar"
ALA,Almaty International Airport,"Almaty, Kazakhstan"
ALB,Albany International Airport,"Albany, New York, United States"
ALC,Alicante–Elche Airport,"Alicante, Valencia, Spain"
ALD,Alerta Airport,"Alerta, Peru"
ALE,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States"
ALF,Alta Airport,"Alta, Norway"
ALG,Houari Boumediene Airport,"Algiers, Algeria"
ALH,Albany Airport,"Albany, Western Australia, Australia"
ALI,Alice International Airport,"Alice, Texas, United States"
ALJ,Alexander Bay Airport,"Alexander Bay, South Africa"
ALK,Asella Airport,"Asella, Ethiopia"
ALL,Albenga Airport,"Albenga, Liguria, Italy"
ALM,Alamogordo–White Sands Regional Airport,"Alamogordo, New Mexico, United States"
ALN,St. Louis Regional Airport,"Alton, Illinois, United States"
ALO,Waterloo Regional Airport,"Waterloo, Iowa, United States"
ALP,Aleppo International Airport,"Aleppo, Syria"
ALQ,Alegrete Airport,"Alegrete, Rio Grande do Sul, Brazil"
ALR,Alexandra Aerodrome,"Alexandra, New Zealand"
ALS,San Luis Valley Regional Airport,"Alamosa, Colorado, United States"
ALT,Alenquer Airport,"Alenquer, Pará, Brazil"
ALU,Alula Airport,"Alula, Somalia"
ALW,Walla Walla Regional Airport,"Walla Walla, Washington, United States"
ALX,Thomas C. Russell Field,"Alexander City, Alabama, United States"
ALY,El Nouzha Airport,"Alexandria, Egypt"
ALZ,Alitak Seaplane Base,"Lazy Bay, Alaska, United States"
AMA,Rick Husband Amarillo International Airport,"Amarillo, Texas, United States"
AMB,Ambilobe Airport,"Ambilobe, Madagascar"
AMC,Am Timan Airport,"Am Timan, Chad"
AMD,Sardar Vallabhbhai Patel International Airport,"Ahmedabad, Gujarat, India"
AME,Alto Molocue Airport,"Alto Molocue, Mozambique"
AMF,Ama Airport,"Ama, Papua New Guinea"
AMG,Amboin Airport,"Amboin, Papua New Guinea"
AMH,Arba Minch Airport,"Arba Minch, Ethiopia"
AMI,Selaparang Airport (closed 2011),"Mataram, Indonesia"
AMJ,Almenara Airport,"Almenara, Minas Gerais, Brazil"
AMK,Animas Air Park (FAA: 00C),"Durango, Colorado, United States"
AML,Puerto Armuelles Airport,"Puerto Armuelles, Panama"
AMM,Queen Alia International Airport,"Amman, Jordan"
AMN,Gratiot Community Airport,"Alma, Michigan, United States"
AMO,Mao Airport,"Mao, Chad"
AMP,Ampanihy Airport,"Ampanihy, Madagascar"
AMQ,Pattimura Airport,"Ambon, Indonesia"
AMS,Amsterdam Airport Schiphol,"Amsterdam, Netherlands"
AMT,Amata Airport,"Amata, South Australia, Australia"
AMU,Amanab Airport,"Amanab, Papua New Guinea"
AMV,Amderma Airport,"Amderma, Nenets Autonomous Okrug, Russia"
AMW,Ames Municipal Airport,"Ames, Iowa, United States"
AMX,Ammaroo Airport,"Ammaroo, Northern Territory, Australia"
AMY,Ambatomainty Airport,"Ambatomainty, Madagascar"
AMZ,Ardmore Airport,"Ardmore, New Zealand"
ANB,Anniston Regional Airport,"Anniston, Alabama, United States"
ANC,Ted Stevens Anchorage International Airport,"Anchorage, Alaska, United States"
AND,Anderson Regional Airport,"Anderson, South Carolina, United States"
ANE,Angers – Loire Airport,"Angers, Pays de la Loire, France"
ANF,Cerro Moreno International Airport,"Antofagasta, Chile"
ANG,Angoulême – Cognac International Airport,"Angoulême, Poitou-Charentes, France"
ANI,Aniak Airport,"Aniak, Alaska, United States"
ANJ,Zanaga Airport,"Zanaga, Republic of the Congo"
ANK,Etimesgut Air Base,"Ankara, Turkey"
ANL,Andulo Airport,"Andulo, Angola"
ANM,Antsirabato Airport,"Antalaha, Madagascar"
ANN,Annette Island Airport,"Annette Island, Alaska, United States"
ANO,Angoche Airport,"Angoche, Mozambique"
ANP,Lee Airport,"Annapolis, Maryland, United States"
ANQ,Tri-State Steuben County Airport,"Angola, Indiana, United States"
ANR,Antwerp International Airport,"Antwerp, Belgium"
ANS,Andahuaylas Airport,"Andahuaylas, Peru"
ANU,V. C. Bird International Airport,"Antigua, Antigua and Barbuda"
ANV,Anvik Airport,"Anvik, Alaska, United States"
ANW,Ainsworth Regional Airport,"Ainsworth, Nebraska, United States"
ANX,"Andøya Airport, Andenes","Andenes, Norway"
ANY,Anthony Municipal Airport,"Anthony, Kansas, United States"
ANZ,Angus Downs Airport,"Angus Downs, Northern Territory, Australia"
AOA,Aroa Airport,"Aroa, Papua New Guinea"
